# Docs audit URL list: project,url optional third field "keep" (pins row when not in any flow source / docs.json)
# Sync: npm run sync:docs-urls | Legacy bare URLs are read as project CMS (override with DOCS_URL_LEGACY_PROJECT).
project,url
AgentOS,https://www.contentstack.com/docs/agent-os/what-is-contentstack-agent-os
AgentOS,https://www.contentstack.com/docs/agent-os/agent-os-architecture
AgentOS,https://www.contentstack.com/docs/agent-os/agent-os-and-its-components-agents-and-automations
AgentOS,https://www.contentstack.com/docs/agent-os/supported-capabilities-of-agent-os
AgentOS,https://www.contentstack.com/docs/agent-os/agent-os-usage-limits
AgentOS,https://www.contentstack.com/docs/agent-os/what-is-an-agent
AgentOS,https://www.contentstack.com/docs/agent-os/components-of-an-agent
AgentOS,https://www.contentstack.com/docs/agent-os/difference-between-agents-and-automations
Administration,https://www.contentstack.com/docs/developers/organization/about-organizations,keep
Administration,https://www.contentstack.com/docs/developers/organization/bulk-operations-on-organization-users
Administration,https://www.contentstack.com/docs/developers/organization/change-organization-role-of-existing-users
Administration,https://www.contentstack.com/docs/developers/organization/invite-users-to-organization
Administration,https://www.contentstack.com/docs/developers/organization/organization-information
Administration,https://www.contentstack.com/docs/developers/organization/organization-roles,keep
Administration,https://www.contentstack.com/docs/developers/organization/organization-settings-overview
Administration,https://www.contentstack.com/docs/developers/organization/organization-users
Administration,https://www.contentstack.com/docs/developers/organization/security-configuration
Administration,https://www.contentstack.com/docs/developers/organization/customer-entitlements
Administration,https://www.contentstack.com/docs/developers/organization/organization-bulk-task-queue
Administration,https://www.contentstack.com/docs/developers/organization/organization-stacks
Administration,https://www.contentstack.com/docs/developers/organization/switch-between-organizations
Administration,https://www.contentstack.com/docs/developers/organization/webhook-configuration
Administration,https://www.contentstack.com/docs/developers/organization/monitor-organization-activities-in-audit-log
Administration,https://www.contentstack.com/docs/developers/organization/organization-limitations,keep
Administration,https://www.contentstack.com/docs/headless-cms/manage-notifications
Administration,https://www.contentstack.com/docs/administration/about-platform-discovery,keep
Administration,https://www.contentstack.com/docs/administration/feature-usage-statuses,keep
